time,signal,type,entry,sl,tp,exit,pnl_raw,pnl_weighted,position,breakout_prob,reason,result,month
2025-03-19 22:55:00,LONG,STRONG,2049.3,2043.2880000000002,2061.8250000000003,2043.2880000000002,-0.293368467281508,-0.17602108036890482,60,25,放量趋势,LOSS,2025-03
2025-03-19 23:30:00,LONG,STRONG,2056.51,2049.4874285714286,2071.1403571428573,2049.4874285714286,-0.3414800525439511,-0.20488803152637064,60,55,放量趋势,LOSS,2025-03
2025-03-19 23:35:00,LONG,STRONG,2060.7,2053.0002857142854,2076.741071428571,2053.0002857142854,-0.3736455711998076,-0.22418734271988458,60,55,强突破,LOSS,2025-03
2025-03-19 23:40:00,LONG,STRONG,2064.21,2056.0508571428572,2081.2082142857143,2056.0508571428572,-0.39526709284146466,-0.23716025570487878,60,45,强突破,LOSS,2025-03
2025-03-19 23:50:00,LONG,STRONG,2058.4,2051.1665714285714,2073.469642857143,2051.1665714285714,-0.3514102492921057,-0.2108461495752634,60,15,放量趋势,LOSS,2025-03
2025-03-20 00:00:00,LONG,STRONG,2061.6,2054.2225714285714,2076.969642857143,2054.2225714285714,-0.35784965907200633,-0.2147097954432038,60,35,放量趋势,LOSS,2025-03
2025-03-20 07:55:00,SHORT,STRONG,2007.8,2012.3985714285714,2001.6685714285713,2012.3985714285714,-0.22903533362742326,-0.13742120017645396,60,50,放量趋势,LOSS,2025-03
2025-03-20 09:50:00,SHORT,STRONG,2005.25,2010.517142857143,1998.2271428571428,1998.2271428571428,0.3502235204018062,0.21013411224108375,60,50,强突破,WIN,2025-03
2025-03-20 10:00:00,SHORT,STRONG,2002.61,2007.7667857142856,1995.7342857142855,1995.7342857142855,0.3433376586411916,0.2746701269129533,80,60,强突破,WIN,2025-03
2025-03-20 10:05:00,SHORT,STRONG,2000.4,2005.9639285714286,1992.9814285714288,1992.9814285714288,0.3708544005484573,0.3708544005484573,100,80,强突破,WIN,2025-03
2025-03-20 10:10:00,SHORT,STRONG,1989.75,1994.9794285714286,1978.8553571428572,1978.8553571428572,0.5475382765243272,0.4380306212194618,80,65,强突破,WIN,2025-03
2025-03-20 10:15:00,SHORT,STRONG,1978.86,1985.136,1965.7849999999999,1985.136,-0.31715229980898435,-0.2537218398471875,80,65,强突破,LOSS,2025-03
2025-03-20 10:20:00,SHORT,STRONG,1980.0,1987.085142857143,1965.2392857142856,1987.085142857143,-0.3578354978355028,-0.21470129870130164,60,55,放量趋势,LOSS,2025-03
2025-03-20 10:25:00,SHORT,STRONG,1980.87,1988.0639999999999,1965.8825,1988.0639999999999,-0.363173756985565,-0.217904254191339,60,45,放量趋势,LOSS,2025-03
2025-03-20 13:20:00,SHORT,STRONG,1987.95,1993.1785714285716,1980.9785714285715,1993.1785714285716,-0.2630132261159241,-0.15780793566955445,60,40,放量趋势,LOSS,2025-03
2025-03-20 13:30:00,SHORT,STRONG,1990.61,1996.2939285714285,1983.0314285714285,1996.2939285714285,-0.2855370249033524,-0.17132221494201147,60,30,放量趋势,LOSS,2025-03
2025-03-20 13:50:00,SHORT,STRONG,1984.0,1989.9648571428572,1971.5732142857144,1989.9648571428572,-0.3006480414746586,-0.18038882488479516,60,45,强突破,LOSS,2025-03
2025-03-20 13:55:00,SHORT,STRONG,1986.1,1992.4385714285713,1972.8946428571428,1992.4385714285713,-0.3191466405806059,-0.1914879843483635,60,25,放量趋势,LOSS,2025-03
2025-03-20 14:00:00,SHORT,STRONG,1991.66,1998.6200000000001,1977.16,1998.6200000000001,-0.34945723667694467,-0.2096743420061668,60,35,放量趋势,LOSS,2025-03
2025-03-20 16:00:00,SHORT,STRONG,1977.68,1988.4405714285715,1955.2621428571429,1955.2621428571429,1.1335431992464504,0.6801259195478703,60,35,放量趋势,WIN,2025-03
2025-03-20 16:25:00,SHORT,STRONG,1958.67,1967.6365714285714,1939.9896428571428,1967.6365714285714,-0.4577887764948328,-0.27467326589689967,60,45,强突破,LOSS,2025-03
2025-03-20 22:25:00,SHORT,STRONG,1973.99,1979.1232142857143,1967.1457142857143,1979.1232142857143,-0.2600425678810076,-0.15602554072860456,60,30,强突破,LOSS,2025-03
2025-03-20 23:20:00,SHORT,STRONG,1972.88,1978.3710714285714,1965.5585714285717,1978.3710714285714,-0.2783276949723922,-0.1669966169834353,60,40,放量趋势,LOSS,2025-03
2025-03-21 03:05:00,SHORT,STRONG,1978.06,1983.1235714285713,1971.3085714285714,1983.1235714285713,-0.2559867460325431,-0.2559867460325431,100,80,强突破,LOSS,2025-03
2025-03-21 03:15:00,SHORT,STRONG,1979.3,1984.7546428571427,1972.027142857143,1984.7546428571427,-0.2755844418300785,-0.2755844418300785,100,70,放量趋势,LOSS,2025-03
2025-03-21 03:35:00,SHORT,STRONG,1979.08,1984.550714285714,1971.7857142857142,1984.550714285714,-0.2764271421930476,-0.16585628531582855,60,50,放量趋势,LOSS,2025-03
2025-03-21 05:30:00,SHORT,STRONG,1974.99,1980.2764285714286,1967.9414285714286,1967.9414285714286,0.35689149963146394,0.21413489977887834,60,40,放量趋势,WIN,2025-03
2025-03-21 05:50:00,SHORT,STRONG,1971.21,1976.987142857143,1963.507142857143,1976.987142857143,-0.293075971466407,-0.17584558287984423,60,50,放量趋势,LOSS,2025-03
2025-03-21 06:05:00,SHORT,STRONG,1970.6,1975.4625714285714,1960.4696428571426,1975.4625714285714,-0.2467558829073139,-0.14805352974438835,60,35,放量趋势,LOSS,2025-03
2025-03-21 06:15:00,SHORT,STRONG,1972.18,1976.9688571428571,1962.2032142857142,1976.9688571428571,-0.24282049016099283,-0.1456922940965957,60,25,放量趋势,LOSS,2025-03
2025-03-21 06:45:00,SHORT,STRONG,1970.2,1975.0788571428573,1960.0357142857142,1975.0788571428573,-0.24763258262395765,-0.14857954957437458,60,25,放量趋势,LOSS,2025-03
2025-03-21 07:45:00,SHORT,STRONG,1974.22,1979.0362857142857,1964.1860714285715,1979.0362857142857,-0.2439589161433701,-0.14637534968602206,60,15,放量趋势,LOSS,2025-03
2025-03-21 08:30:00,SHORT,STRONG,1965.19,1970.163142857143,1954.8292857142858,1970.163142857143,-0.2530616814222989,-0.15183700885337933,60,25,强突破,LOSS,2025-03
2025-03-21 09:05:00,SHORT,STRONG,1970.44,1976.1434285714286,1958.5578571428573,1976.1434285714286,-0.28944949206413306,-0.17366969523847986,60,25,放量趋势,LOSS,2025-03
2025-03-21 10:00:00,SHORT,STRONG,1970.94,1976.1610714285714,1963.9785714285715,1963.9785714285715,0.35320347506410854,0.21192208503846513,60,40,放量趋势,WIN,2025-03
2025-03-21 10:15:00,SHORT,STRONG,1965.87,1971.3535714285713,1958.5585714285714,1958.5585714285714,0.3719182128741194,0.22315092772447165,60,40,强突破,WIN,2025-03
2025-03-21 10:20:00,SHORT,STRONG,1962.36,1967.070857142857,1952.5457142857142,1967.070857142857,-0.24006080142568612,-0.14403648085541168,60,45,强突破,LOSS,2025-03
2025-03-21 10:35:00,SHORT,STRONG,1962.51,1967.6725714285715,1951.754642857143,1967.6725714285715,-0.263059624081991,-0.1578357744491946,60,45,放量趋势,LOSS,2025-03
2025-03-21 12:40:00,SHORT,STRONG,1951.7,1958.0514285714287,1938.4678571428572,1938.4678571428572,0.6779803687627652,0.4067882212576591,60,45,强突破,WIN,2025-03
2025-03-21 12:45:00,SHORT,STRONG,1955.22,1961.712,1941.695,1941.695,0.6917380141365213,0.4150428084819127,60,45,放量趋势,WIN,2025-03
2025-03-21 12:50:00,SHORT,STRONG,1949.23,1956.0022857142858,1935.1210714285714,1956.0022857142858,-0.34743389514248046,-0.20846033708548828,60,45,放量趋势,LOSS,2025-03
2025-03-21 20:20:00,LONG,STRONG,1974.27,1969.2621428571429,1980.9471428571428,1980.9471428571428,0.3382081912374106,0.20292491474244634,60,50,放量趋势,WIN,2025-03
2025-03-21 21:35:00,LONG,STRONG,1980.0,1975.442142857143,1983.7982142857143,1975.442142857143,-0.23019480519480173,-0.18415584415584138,80,60,强突破,LOSS,2025-03
2025-03-22 00:05:00,LONG,STRONG,1971.72,1967.2624285714285,1975.434642857143,1975.434642857143,0.1883960631906641,0.15071685055253126,80,60,强突破,WIN,2025-03
2025-03-22 00:15:00,LONG,STRONG,1975.3,1970.5415714285714,1979.265357142857,1979.265357142857,0.20074708362563162,0.20074708362563162,100,70,强突破,WIN,2025-03
