time,signal,type,entry,sl,tp,exit,pnl_raw,pnl_weighted,position,breakout_prob,volatility,reason,result,month
2026-01-09 11:45:00,SHORT,STRONG,3094.14,3099.4446428571428,3087.2439642857144,3087.2439642857144,0.2228740688619622,0.10920829374236148,49,60,0.0011429439428818848,放量趋势,WIN,2026-01
2026-01-09 12:15:00,SHORT,STRONG,3083.23,3089.6360714285715,3076.1833214285716,3089.6360714285715,-0.20777144191550814,-0.13712915166423537,66,50,0.0013851429461033667,强突破,LOSS,2026-01
2026-01-09 12:20:00,SHORT,STRONG,3086.9,3093.384285714286,3075.228285714286,3093.384285714286,-0.21005817209128122,-0.06511803334829719,31,70,0.0014003878139418643,放量趋势,LOSS,2026-01
2026-01-10 02:35:00,SHORT,STRONG,3084.85,3088.7932857142855,3081.4324857142856,3081.4324857142856,0.11078380750163973,0.03877433262557391,35,60,0.0007101526121899795,强突破,WIN,2026-01
2026-01-10 03:05:00,SHORT,STRONG,3081.34,3085.8027142857145,3075.984742857143,3085.8027142857145,-0.144830310375173,-0.03186266828253806,22,70,0.0008046128354176265,强突破,LOSS,2026-01
2026-01-10 04:55:00,SHORT,STRONG,3080.22,3084.210857142857,3075.4309714285714,3084.210857142857,-0.1295640292854827,-0.028504086442806192,22,90,0.0007198001626970873,强突破,LOSS,2026-01
2026-01-10 10:45:00,LONG,STRONG,3100.22,3096.2329999999997,3105.0044,3096.2329999999997,-0.12860377650618604,-0.02829283083136093,22,80,0.0007144654250343574,强突破,LOSS,2026-01
2026-01-10 10:55:00,LONG,STRONG,3103.23,3098.919,3108.4032,3098.919,-0.13891977069054337,-0.030562349551919544,22,70,0.0007717765038363404,强突破,LOSS,2026-01
2026-01-10 16:05:00,LONG,WEAK,3097.15,3094.2147142857143,3099.3025428571427,3094.2147142857143,-0.0947737666656695,-0.0379095066662678,40,55,0.0005265209259203721,弱趋势,LOSS,2026-01
2026-01-10 17:10:00,LONG,STRONG,3098.53,3095.8235714285715,3100.8755714285717,3095.8235714285715,-0.08734556616939837,-0.03057094815928943,35,60,0.00048525314538555586,强突破,LOSS,2026-01
2026-01-10 20:30:00,SHORT,STRONG,3089.72,3091.9455714285714,3087.049314285714,3087.049314285714,0.08643779094176203,0.019016314007187646,22,80,0.00040017495806369754,强突破,WIN,2026-01
2026-01-10 21:05:00,SHORT,STRONG,3086.61,3089.180142857143,3083.5258285714285,3089.180142857143,-0.08326749596297735,-0.018318849111855016,22,95,0.00046259719979432445,强突破,LOSS,2026-01
2026-01-10 22:00:00,SHORT,STRONG,3083.94,3086.6374285714287,3080.703085714286,3080.703085714286,0.10496035220251342,0.023091277484552954,22,70,0.0004859275564931427,强突破,WIN,2026-01
2026-01-10 22:10:00,SHORT,STRONG,3081.98,3085.1364285714285,3078.192285714286,3085.1364285714285,-0.10241560851882484,-0.02253143387414146,22,90,0.0005689756028823919,强突破,LOSS,2026-01
2026-01-10 22:15:00,SHORT,STRONG,3081.63,3084.624428571429,3078.036685714286,3084.624428571429,-0.09717028233203436,-0.021377462113047557,22,90,0.0005398349018446272,强突破,LOSS,2026-01
2026-01-11 04:05:00,LONG,STRONG,3097.71,3095.0961428571427,3100.8466285714285,3095.0961428571427,-0.08438030489804861,-0.018563667077570692,22,80,0.00046877947165578827,强突破,LOSS,2026-01
2026-01-11 05:40:00,LONG,STRONG,3100.39,3098.3122857142857,3102.8832571428566,3098.3122857142857,-0.06701461060428324,-0.014743214332942312,22,70,0.00037230339224600986,强突破,LOSS,2026-01
2026-01-11 08:55:00,LONG,STRONG,3103.45,3099.8911428571428,3107.7206285714283,3107.7206285714283,0.13760906640765794,0.030273994609684746,22,90,0.0006370790111465774,强突破,WIN,2026-01
