timestamp,open,high,low,close,volume,datetime
1769955300000,2377.0,2378.93,2355.4,2360.06,6785.50172,2026-02-01 14:15:00
1769956200000,2360.03,2366.58,2327.4,2350.95,17761.646696,2026-02-01 14:30:00
1769957100000,2350.99,2388.22,2345.81,2373.38,8339.806531,2026-02-01 14:45:00
1769958000000,2373.11,2373.49,2334.83,2337.69,4897.45588,2026-02-01 15:00:00
1769958900000,2337.71,2343.62,2306.66,2308.26,15139.095296,2026-02-01 15:15:00
1769959800000,2308.21,2317.93,2286.58,2301.75,14102.957395,2026-02-01 15:30:00
1769960700000,2301.75,2337.0,2298.25,2315.85,7320.227568,2026-02-01 15:45:00
1769961600000,2315.89,2326.16,2293.73,2310.99,6368.667569,2026-02-01 16:00:00
1769962500000,2310.59,2333.93,2284.0,2320.93,6062.723658,2026-02-01 16:15:00
1769963400000,2320.92,2330.93,2299.09,2305.64,3288.152207,2026-02-01 16:30:00
1769964300000,2305.61,2315.68,2296.28,2304.4,3617.007339,2026-02-01 16:45:00
1769965200000,2304.4,2322.0,2303.04,2318.55,3075.784356,2026-02-01 17:00:00
1769966100000,2318.55,2322.1,2297.27,2313.36,3950.606549,2026-02-01 17:15:00
1769967000000,2313.39,2317.01,2297.65,2303.7,6024.737589,2026-02-01 17:30:00
1769967900000,2303.69,2314.97,2298.0,2314.63,2917.986923,2026-02-01 17:45:00
1769968800000,2314.52,2365.77,2313.78,2357.91,7137.453192,2026-02-01 18:00:00
1769969700000,2357.66,2378.71,2349.35,2360.99,5080.162342,2026-02-01 18:15:00
1769970600000,2360.79,2363.13,2342.89,2345.22,2408.999473,2026-02-01 18:30:00
1769971500000,2345.2,2352.51,2336.37,2351.2,3014.068965,2026-02-01 18:45:00
1769972400000,2351.2,2357.02,2336.85,2340.72,1509.81165,2026-02-01 19:00:00
1769973300000,2340.76,2345.91,2331.0,2340.95,1694.104648,2026-02-01 19:15:00
1769974200000,2340.94,2348.51,2335.23,2338.59,1428.447107,2026-02-01 19:30:00
1769975100000,2338.75,2338.75,2306.65,2320.62,5278.920814,2026-02-01 19:45:00
1769976000000,2320.62,2330.58,2311.38,2318.91,4163.413251,2026-02-01 20:00:00
1769976900000,2318.9,2330.55,2298.89,2300.99,3352.537464,2026-02-01 20:15:00
1769977800000,2301.0,2349.65,2301.0,2334.31,6264.154005,2026-02-01 20:30:00
1769978700000,2334.32,2335.0,2313.49,2316.28,3137.737728,2026-02-01 20:45:00
1769979600000,2316.27,2317.92,2292.35,2301.61,3986.75131,2026-02-01 21:00:00
1769980500000,2301.61,2312.75,2295.33,2309.84,3095.248872,2026-02-01 21:15:00
1769981400000,2309.75,2319.82,2302.21,2308.4,1195.629706,2026-02-01 21:30:00
1769982300000,2308.49,2308.49,2278.73,2290.9,5443.677112,2026-02-01 21:45:00
1769983200000,2290.92,2335.22,2287.22,2324.86,6051.530549,2026-02-01 22:00:00
1769984100000,2324.94,2325.4,2293.33,2315.3,2644.956137,2026-02-01 22:15:00
1769985000000,2315.03,2331.2,2313.01,2321.68,1583.282297,2026-02-01 22:30:00
1769985900000,2321.75,2326.56,2311.2,2318.99,1615.49717,2026-02-01 22:45:00
1769986800000,2319.09,2321.73,2220.0,2259.84,18992.367106,2026-02-01 23:00:00
